composite_rank,name,hidden_dims,params,best_epoch,val_loss,val_f1,test_exact_match,test_precision,test_recall,test_f1,performance_score,efficiency_score,composite_score
1,H_384_192_96_48_7,"[192, 96, 48]",97447,33,0.014534,0.991361,0.965517,0.99569,0.987069,0.991361,0.8937489516105791,0.492236788899308,0.7732953027971977
2,B1_384_128_32_7,"[128, 32]",53639,39,0.014866,0.98274,0.965517,0.99569,0.987069,0.991361,0.8391695399700096,0.5465660409763584,0.7513884902719142
3,D_384_128_7,[128],50183,70,0.014827,0.974119,0.991379,0.991379,0.991379,0.991379,0.8658382768232584,0.4662659627893201,0.7459665826130768
4,B2_384_160_80_7,"[160, 80]",75047,26,0.01342,0.98274,0.982759,0.991379,0.987069,0.989219,0.8074398312804197,0.548448483949589,0.7297424270811705
5,E_384_256_64_7,"[256, 64]",115463,21,0.013337,0.98274,0.982759,0.991379,0.987069,0.989219,0.8074398312804197,0.5105431728608203,0.7183708337545398
6,D2_384_192_7,[192],75271,44,0.015454,0.974119,0.982759,0.991379,0.987069,0.989219,0.7528604196398511,0.48867153958076087,0.673603755622124
7,E0_384_256_7,[256],100359,42,0.015334,0.974119,0.982759,0.991379,0.987069,0.989219,0.7528604196398511,0.4597926373289944,0.6649400849465941
8,D1_384_160_7,[160],62727,68,0.014858,0.974119,0.982759,0.991379,0.987069,0.989219,0.7528604196398511,0.44466177920818384,0.6604008275103509
9,A2_384_48_7,[48],18823,78,0.017279,0.974119,0.974138,0.991379,0.982759,0.98705,0.6396108762480003,0.5533129811587696,0.613721507721231
10,A3_384_80_7,[80],31367,60,0.015444,0.974119,0.974138,0.991379,0.982759,0.98705,0.6396108762480003,0.5496962453115768,0.6126364869670732
11,B_384_128_64_7_current,"[128, 64]",57991,37,0.014995,0.974119,0.974138,0.991379,0.982759,0.98705,0.6396108762480003,0.5422646669042974,0.6104070134448893
12,A5_384_96_32_7,"[96, 32]",40295,29,0.016081,0.98274,0.965517,0.991379,0.978448,0.984871,0.5806379133660567,0.6052356768560687,0.5880172424130603
13,A_384_64_7,[64],25095,67,0.016581,0.974119,0.965517,0.987069,0.982759,0.984909,0.5221982394498808,0.5524259776604159,0.5312665609130413
14,C_384_256_128_64_7,"[256, 128, 64]",140167,18,0.013677,0.991361,0.931035,0.991379,0.974138,0.982683,0.4356893004278611,0.4941462097334804,0.45322637321954684
15,F_384_512_256_128_64_7,"[512, 256, 128, 64]",370055,10,0.01654,0.991361,0.931035,0.99569,0.969828,0.982588,0.437860314094493,0.3874256551182648,0.4227299164016245
16,G_384_96_48_7,"[96, 48]",41959,26,0.01694,0.974119,0.948276,0.987069,0.974138,0.980561,0.29539963586668233,0.6055022761165487,0.38843042794164223
17,A1_384_32_7,[32],12551,79,0.019088,0.974119,0.948276,0.987069,0.974138,0.980561,0.29539963586668233,0.5927557256907687,0.3846064628139082
18,A4_384_64_32_7,"[64, 32]",26951,51,0.015156,0.98274,0.939655,0.987069,0.969828,0.978372,0.2361331221658936,0.5950370787748187,0.34380430914857113
19,A0_384_7_linear,[],2695,80,0.064282,0.967668,0.956897,0.978448,0.974138,0.976288,0.10571430463486589,0.6,0.25400001324440613
