optimizer,batch_size,seed,params,best_epoch,val_loss,val_f1,test_exact,test_precision,test_recall,test_f1
sgd,8,42,50183,60,0.366228,0.000000,0.000000,0.000000,0.000000,0.000000
sgd,8,7,50183,60,0.370871,0.000000,0.000000,0.000000,0.000000,0.000000
sgd,8,123,50183,60,0.380612,0.000000,0.000000,0.000000,0.000000,0.000000
sgd,16,42,50183,60,0.402723,0.000000,0.000000,0.000000,0.000000,0.000000
sgd,16,7,50183,60,0.403628,0.000000,0.000000,0.000000,0.000000,0.000000
sgd,16,123,50183,60,0.411659,0.000000,0.000000,0.000000,0.000000,0.000000
sgd,32,42,50183,60,0.477925,0.000000,0.000000,0.000000,0.000000,0.000000
sgd,32,7,50183,60,0.464609,0.000000,0.000000,0.000000,0.000000,0.000000
sgd,32,123,50183,60,0.480167,0.000000,0.000000,0.000000,0.000000,0.000000
adam,8,42,50183,50,0.015477,0.974119,0.974138,0.991379,0.982759,0.987050
adam,8,7,50183,56,0.015265,0.974119,0.982759,0.991379,0.987069,0.989219
adam,8,123,50183,39,0.016342,0.974119,0.974138,0.987069,0.987069,0.987069
adam,16,42,50183,46,0.015200,0.974119,0.974138,0.991379,0.982759,0.987050
adam,16,7,50183,56,0.015354,0.974119,0.982759,0.991379,0.987069,0.989219
adam,16,123,50183,57,0.015370,0.974119,0.982759,0.991379,0.987069,0.989219
adam,32,42,50183,60,0.016641,0.974119,0.965517,0.991379,0.978448,0.984871
adam,32,7,50183,60,0.017061,0.976288,0.965517,0.987069,0.982759,0.984909
adam,32,123,50183,60,0.016778,0.974119,0.965517,0.987069,0.982759,0.984909
rmsprop,8,42,50183,33,0.014459,0.974119,0.982759,0.991379,0.987069,0.989219
rmsprop,8,7,50183,40,0.015118,0.974119,0.982759,0.991379,0.987069,0.989219
rmsprop,8,123,50183,25,0.015316,0.974119,0.982759,0.995690,0.995690,0.995690
rmsprop,16,42,50183,45,0.013715,0.974119,0.982759,0.991379,0.987069,0.989219
rmsprop,16,7,50183,59,0.014849,0.974119,0.982759,0.995690,0.995690,0.995690
rmsprop,16,123,50183,37,0.015024,0.974119,0.974138,0.995690,0.991379,0.993530
rmsprop,32,42,50183,60,0.015285,0.974119,0.974138,0.991379,0.982759,0.987050
rmsprop,32,7,50183,48,0.015260,0.976288,0.974138,0.991379,0.982759,0.987050
rmsprop,32,123,50183,59,0.015284,0.974119,0.982759,0.991379,0.987069,0.989219
adamw,8,42,50183,28,0.013364,0.974119,0.974138,0.991379,0.982759,0.987050
adamw,8,7,50183,36,0.014742,0.974119,0.974138,0.991379,0.982759,0.987050
adamw,8,123,50183,28,0.014202,0.982740,0.982759,0.991379,0.987069,0.989219
adamw,16,42,50183,46,0.012601,0.974119,0.974138,0.991379,0.982759,0.987050
adamw,16,7,50183,38,0.014189,0.976288,0.974138,0.991379,0.982759,0.987050
adamw,16,123,50183,45,0.013449,0.982740,0.982759,0.991379,0.987069,0.989219
adamw,32,42,50183,58,0.013769,0.974119,0.974138,0.991379,0.982759,0.987050
adamw,32,7,50183,60,0.014673,0.974119,0.965517,0.987069,0.982759,0.984909
adamw,32,123,50183,58,0.013873,0.982740,0.974138,0.991379,0.982759,0.987050
